t_min,cgm_true,cgm_twin,cgm_true_cf,cgm_twin_cf
738.0,137.74356023216288,117.03267735835082,129.47536289628437,107.73223696328907
741.0,137.27171748759343,119.76273677147194,129.03729219637395,110.47518407308942
744.0,136.0177004165024,122.384241496965,127.81422070540566,112.98805190772124
747.0,134.77661343311416,124.78879173162905,126.59969121916153,115.21764400326418
750.0,134.6272626461797,126.92325872176028,126.47100956674319,117.13921900464621
753.0,134.04225719535975,128.7661774428035,125.8994279532954,118.74701193668447
756.0,133.14997753187578,130.31507774187673,125.01216556826985,120.04821064451187
759.0,132.0712664929146,131.57919200242853,123.92912791178392,121.05870428217648
762.0,130.92058179968487,132.57494899789225,122.76406968373291,121.79994557588168
765.0,129.8069396106791,133.3229831328651,121.62553661896945,122.2965513340872
768.0,128.83471332119336,133.8460814979572,120.61765528443712,122.57450183884038
771.0,128.1045341351769,134.1677464649528,119.8410211142313,122.65981972945956
774.0,127.71462807432502,134.31119752836136,119.3940219918927,122.5776425199344
777.0,127.74691520985348,134.298699486397,119.35892467690614,122.35161408388058
780.0,128.19009076649405,134.1511360332747,119.72494407761516,122.00352477477999
783.0,128.8945014118125,133.88776475273448,120.34310795912259,121.55313719055805
786.0,129.68530603954343,133.52610543001578,121.03940490119678,121.01814267993267
789.0,130.39533131847725,133.08192958759926,121.64762404611832,120.41421840841333
792.0,130.87968259115098,132.56931196349174,122.02394584566792,119.75513898039875
795.0,131.08745453458772,132.0007178919885,122.11862764820268,119.0529165702483
798.0,131.10402784941812,131.38711855766047,122.01827079674743,118.31796089796929
801.0,131.04849427693014,130.73811783306707,121.84321281699945,117.55924285088369
804.0,131.0433936102261,130.06208217582707,121.71723023180843,116.78445388865272
807.0,131.20194924095145,129.36626780943868,121.7547406526584,116.00015633860453
810.0,131.56930023656983,128.65694123179964,122.00200416226915,115.21192162609815
813.0,132.08703067566896,127.93949182511942,122.40162639512855,114.42445603569115
816.0,132.6733613111897,127.21853474360856,122.87272957459845,113.64171311745145
819.0,133.24578968382232,126.49800406349968,123.33357827143917,112.86699343729964
822.0,133.72939694233173,125.78123636901614,123.70987825875056,112.10303247395755
825.0,134.09970589403596,125.0710452465771,123.9776326561249,111.35207765675185
828.0,134.40842077873322,124.36978732802781,124.18888518331221,110.61595561010176
831.0,134.72316843741328,123.67942060390702,124.4114692954453,109.89613066663834
834.0,135.11032585840988,123.00155574963729,124.71184716791436,109.1937556618595
837.0,135.62210486994564,122.33750119216486,125.14220826559517,108.50971594929143
840.0,136.23169196761575,121.68830260670984,125.67562450578725,107.84466748962375
843.0,136.7943832906375,121.05477748296866,126.1672011569483,107.1990697787088
846.0,137.1386406321707,120.43754534410986,126.4451486255563,106.5732142928902
849.0,137.09218829306718,119.8370541446125,126.33689435957022,105.96724904885895
852.0,136.5077359592484,119.2536033172016,125.69481961908843,105.38119980068394
855.0,135.3911501463952,118.68736388647011,124.52444336872628,104.81498832944868
858.0,133.97838944999057,118.13839601813915,123.06136836381984,104.26844822106719
861.0,132.55629176147096,117.60666432867022,121.5920775280886,103.74133847504345
864.0,131.41142136017245,117.09205124016634,120.40278855090025,103.23335524065746
867.0,130.79880687100206,116.59436863002912,119.7481977738048,102.74414193671656
870.0,130.7853604081243,116.11336799342081,119.69490380936452,102.27329797597173
873.0,131.15594234552262,115.64874930888102,120.02747548323504,101.82038628495793
